"Station","Longitude","Latitude","Ubication","District Name","Neighborhood Name"
"Barcelona - Ciutadella","2.1874","41.3864","Parc de la Ciutadella","Ciutat Vella","Sant Pere, Santa Caterina i la Ribera"
"Barcelona - Eixample","2.1538","41.3853","Av. Roma - c/ Comte Urgell","Eixample","la Nova Esquerra de l'Eixample"
"Barcelona - Gràcia","2.1534","41.3987","Plaça Gal·la Placídia (Via Augusta - Travessera de Gràcia)","Gracia","la Vila de Gracia"
"Barcelona - Palau Reial","2.1151","41.3875","c/ John Maynard Keynes - c/ de Jordi Girona","Les Corts","Pedralbes"
"Barcelona - Poblenou","2.2045","41.4039","Plaça Josep Trueta (Pujades - Lope de Vega)","Sant Marti","el Poblenou"
"Barcelona - Sants","2.1331","41.3788","Jardins de Can Mantega (Joan Güell - Violant d’Hongria)","Sants-Montjuic","Sants"
"Barcelona - Vall Hebron","2.148","41.4261","Parc de la Vall d’Hebron - c/ Martí Codolar - c/ Granja Vella","Horta-Guinardo","la Vall d'Hebron"
"Barcelona - Vallvidrera, el Tibidabo i les Planes","2.1211","41.4176","Ctra Observatori Fabra, 27","Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes"
